طابع زمني,   ما هو معدلك التوجيهي ؟,   ما هو تخصصك الجامعي الحالي؟  (عربي فقط),"   ما مدى اهتمامك بالتكنولوجيا (عندما اخترت تخصصك)  ؟
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بالمجال الصحي والطبي (عندما اخترت تخصصك)
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بمجال الأعمال والإدارة (عندما اخترت تخصصك) ؟
(1= ضعيف جدا ) / (5 = عالي جدا)","  ما مدى اهتمامك بالمجالات الفنية والإبداعية  (عندما اخترت تخصصك) ؟   
(1= ضعيف جدا) / (5 = عالي جدا)","   أي وصف يعبّر أكثر عن أسلوب تفكيرك (عندما اخترت تخصصك)
",كيف بتشوف شخصيتك كانت  (عندما اخترت تخصصك) ؟,  أي نوع دراسة تفضّل؟ ,  ما أسلوب العمل الذي تفضّله؟  ,"   ما مدى رضاك عن تخصصك الجامعي الحالي؟  راضٍ جدًا / راضٍ / محايد /غير راضٍ
(1=راض جدا) / (4 = غير راض) ",هل لو كان عندك نظام ذكي يرشدك قبل الجامعة، هل كان ممكن يغيّر اختيارك للتخصص؟ 
9:59:56 م 2026/01/03,70,اللغة العربية وادابها,3,2,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,العمل الجماعي (ضمن فريق),2,لا
10:00:11 م 2026/01/03,12.93/20 علوم رياضية ,علوم تربية ، تدريس ,4,3,1,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,لا
10:00:12 م 2026/01/03,69,احياء بيوتكنولجي,3,3,3,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
10:00:14 م 2026/01/03,٩١.١٣,الطب,2,4,2,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:00:36 م 2026/01/03,72,ادارة اعمال,3,1,4,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,لا
10:00:47 م 2026/01/03,84,صيدلة,1,5,3,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,1,نعم
10:00:53 م 2026/01/03,81,محاسبة,3,4,5,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,4,نعم
10:01:05 م 2026/01/03,80,علاقات عامه,2,1,4,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
10:01:19 م 2026/01/03,80,ادارة اعمال ,1,2,5,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:01:23 م 2026/01/03,97,طب بشري,4,3,2,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:01:28 م 2026/01/03,90,هندسة الحاسوب ,5,2,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
10:01:40 م 2026/01/03,88.1,علم حاسوب ,5,3,3,4,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:02:14 م 2026/01/03,70,وسائط متعددة,5,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:02:40 م 2026/01/03,89.65,تحاليل طبية,1,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,3,نعم
10:02:49 م 2026/01/03,80.2,علم النفس السريري ,3,5,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:03:07 م 2026/01/03,٨٢٪؜,اللغة الانجليزية وادابها,2,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,لا
10:03:11 م 2026/01/03,89,قانون ,3,2,4,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,نعم
10:03:12 م 2026/01/03,71,عربي ,1,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),4,نعم
10:03:32 م 2026/01/03,99,طب,3,5,2,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,4,لا
10:04:08 م 2026/01/03,82.3,ماجستير في التمريض السريري,5,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,لا
10:04:32 م 2026/01/03,80.65,كيمياء,2,2,2,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,3,لا
10:04:35 م 2026/01/03,86,معالجة تنفسية ,1,5,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
10:04:41 م 2026/01/03,92,اللغة الإنجليزية وادابها,5,3,4,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
10:04:44 م 2026/01/03,65,آمن سيبراني,5,1,3,4,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,نعم
10:04:45 م 2026/01/03,92.95اول واحد ، الثاني 96.15,صيدلة,5,4,2,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
10:04:48 م 2026/01/03,78,اقتصاد ومصارف اسلاميه,5,1,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:04:51 م 2026/01/03,بعد 6 اشهر بعرف, بالمستقبل تمريض 🙃,3,5,1,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,4,لا
10:05:13 م 2026/01/03,81,هندسة الانظمه الذكية,5,2,1,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:05:28 م 2026/01/03,97,طب ,1,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
10:05:39 م 2026/01/03,96,هندسه,4,2,3,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,2,لا
10:05:54 م 2026/01/03,97,صيدله,2,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
10:06:08 م 2026/01/03,12.32,علوم,3,5,1,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
10:06:11 م 2026/01/03,76,معالجه تنفسيه ,2,5,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
10:06:16 م 2026/01/03,98.5,طب أسنان ,3,5,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:06:28 م 2026/01/03,لسا مادرست توجيهي ,إدارة اعمال لسا بدي فوت ,3,2,5,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
10:06:38 م 2026/01/03,75.50,العمل الاجتماعي ,1,3,3,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
10:07:12 م 2026/01/03,96.75,انجليزي تطبيقي,1,1,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,4,لا
10:07:18 م 2026/01/03,90,ادارة عمال,3,1,5,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
10:07:25 م 2026/01/03,95,دكتور صيدلة ,3,5,2,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
10:07:38 م 2026/01/03,90,امن سبراني,4,1,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
10:07:43 م 2026/01/03,92,هندسة برمجيات ,4,2,3,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
10:07:48 م 2026/01/03,65٫5,دبلوم مختبرات اسنان ,5,5,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
10:07:56 م 2026/01/03,93.1,اللغه الانجليزيه,2,2,5,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
10:09:13 م 2026/01/03,94.4,صيدله,3,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:09:26 م 2026/01/03,70,أرشفه رقمية ,5,2,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
10:10:02 م 2026/01/03,98.5,شبكات وأمن,5,1,4,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,لا
10:10:17 م 2026/01/03,93.6 ,هندسة أنظمة الحاسوب ,4,3,3,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:10:21 م 2026/01/03,1421,ارشاد ,3,4,2,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,نعم
10:10:22 م 2026/01/03,91.3,هندسه حاسوب ,5,1,1,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,نعم
10:10:38 م 2026/01/03,90,طب اسنات,2,5,3,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,نعم
10:11:02 م 2026/01/03,60,التسويق الرقمي ,5,3,5,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:11:23 م 2026/01/03,88,علوم مصارف إسلامية ,3,2,5,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:11:25 م 2026/01/03,76,علوم حاسوب,3,2,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:11:30 م 2026/01/03,96٫45,قانون,3,3,3,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,لا
10:11:58 م 2026/01/03,94.4,طب بشري,3,5,2,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,لا
10:12:06 م 2026/01/03,82.95,جغرافيا ,3,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:12:10 م 2026/01/03,95.4,طب اسنان,4,2,4,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
10:12:20 م 2026/01/03,92.7,تمريض,3,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,لا
10:12:22 م 2026/01/03,55,",تصوير فتغرافي ومواقع سوشل ميديا",5,1,2,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:12:35 م 2026/01/03,91,هندسة برمجيات,4,3,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,3,نعم
10:12:43 م 2026/01/03,86.5,هندسه شبكات,2,4,5,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,4,نعم
10:13:01 م 2026/01/03,65,دبلوم محاسبة تقنية ,3,1,5,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
10:13:12 م 2026/01/03,70.07,امن المعلومات والشبكات ,3,4,3,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
10:13:42 م 2026/01/03,92.65,طب الأسنان ,4,4,2,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
10:13:51 م 2026/01/03,92.75,ادب انجليزي,3,1,2,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,4,نعم
10:13:54 م 2026/01/03,غير ناجح,م درست جامعه,1,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,نعم
10:14:32 م 2026/01/03,76.75,الكيمياء,4,5,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
10:14:33 م 2026/01/03,75,أمن سيبراني,5,1,1,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:14:39 م 2026/01/03,79.6,قباله,1,5,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
10:14:39 م 2026/01/03,70,اعلام وقمي ,1,2,2,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,لا
10:15:25 م 2026/01/03,65%,تجارة واقتصاد,4,5,3,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
10:15:37 م 2026/01/03,93.4,تسويق رقمي,4,2,5,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:15:52 م 2026/01/03,91.0,تمريض بكالوريوس ,3,5,5,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,لا
10:15:57 م 2026/01/03,93,ارشاد نفسي,1,3,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,العمل الجماعي (ضمن فريق),1,نعم
10:16:25 م 2026/01/03,74.7,طب مخبري,1,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:16:47 م 2026/01/03,٧٢.٨,ارشاد وصحه نفسيه ,2,3,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
10:16:54 م 2026/01/03,89,هندسه طبيه,4,5,1,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
10:16:55 م 2026/01/03,خاص,فصل اول,1,1,5,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,لا
10:16:57 م 2026/01/03,72,قانون ,4,5,3,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
10:17:04 م 2026/01/03,65,تدقيق والمراجعة والخبرة في محاسبة,1,1,3,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:17:08 م 2026/01/03,93.5,تمريض,1,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
10:17:13 م 2026/01/03,97,علوم الحاسوب,5,1,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:17:31 م 2026/01/03,82.1,المستحضرات الطبية في التجميل ,3,5,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
10:18:48 م 2026/01/03,87,علاج طبيعي ,1,5,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
10:18:55 م 2026/01/03,82,قباله والعنايه بحديثي الولادة ,2,1,5,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
10:19:25 م 2026/01/03,70,رعايه وتعليم طفولة مبكرة,2,3,1,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,2,نعم
10:19:26 م 2026/01/03,٧٢.٧,تصميم داخلي ,2,3,5,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:19:38 م 2026/01/03,71.85,إرشاد نفسي ,3,3,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:19:43 م 2026/01/03,95.9,طب بشري,3,4,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
10:19:44 م 2026/01/03,89,تمريض,4,1,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,العمل الجماعي (ضمن فريق),3,لا
10:20:01 م 2026/01/03,٩١.٤,اللغة العربية وآدابها ,3,1,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,3,نعم
10:20:10 م 2026/01/03,89,ارشاد نفسي,3,2,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:20:18 م 2026/01/03,٩٨.٦,علم حاسوب ,4,2,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,3,نعم
10:20:42 م 2026/01/03,78,علاج فيزيائي ,3,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,لا
10:20:51 م 2026/01/03,90.95,قانون ,2,2,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:20:54 م 2026/01/03,80,قبالة,1,5,2,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
10:21:19 م 2026/01/03,82,اللغه العربيه ,3,1,4,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:21:29 م 2026/01/03,78,ادارة اعمال,3,1,5,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
10:21:49 م 2026/01/03,87.05,التسويق الرَقمي ,5,1,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
10:21:51 م 2026/01/03,87.9,تصميم داخلي,3,2,2,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,نعم
10:22:10 م 2026/01/03,83٫9,هندسة كهربائية ,4,2,4,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:22:29 م 2026/01/03,70,معلمه,3,4,5,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:22:29 م 2026/01/03,79.1,اللغة العربية وآدابها ,1,2,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,1,لا
10:22:34 م 2026/01/03,80,معلم ,1,5,5,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,الاثنين معا,1,نعم
10:22:44 م 2026/01/03,95.6,طب اسنان,3,5,2,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
10:22:49 م 2026/01/03,97.4,هندسة انظمة حاسوب,5,3,1,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,2,لا
10:23:20 م 2026/01/03,80,علم البيانات و الذكاء الاصطناعي ,3,2,2,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
10:23:34 م 2026/01/03,98.3,طب بشري,3,5,2,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:23:46 م 2026/01/03,72,علوم مالية ومصرفيه,2,5,4,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:23:49 م 2026/01/03,82.5 ,تربيه خاصه ,3,4,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,لا
10:24:17 م 2026/01/03,90,لغة انجليزية ,3,4,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:25:28 م 2026/01/03,46%,طب جراحة قلبية,5,1,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,الاثنين معا,2,نعم
10:25:51 م 2026/01/03,92.6,اداره رقميه في الاعمال,5,2,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,الاثنين معا,2,لا
10:26:34 م 2026/01/03,85%,تغذيه سريريه و حميات,1,5,3,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,لا
10:26:47 م 2026/01/03,96٫7,علم حاسوب ,4,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,لا
10:27:11 م 2026/01/03,77,ادب ودراسات باللغه الانجليزيه,3,5,1,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
10:27:25 م 2026/01/03,90.55,علم وتكنولوجيا الغذاء ,2,1,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,1,لا
10:28:20 م 2026/01/03,85,إدارة أعمال ,5,3,5,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
10:29:29 م 2026/01/03,88,اداره اعمال ,1,1,5,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
10:30:11 م 2026/01/03,٩٤:٣,تكنولجبا ماليه,2,5,5,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:30:19 م 2026/01/03,75٫85,الشريعه فقه واصوله,2,2,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
10:31:28 م 2026/01/03,95,طب اسنان,3,5,2,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
10:31:32 م 2026/01/03,99.2,طب أسنان ,4,5,4,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,العمل الفردي,1,لا
10:32:01 م 2026/01/03,99,ذكاء الاصطناعي,1,2,1,4,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,4,لا
10:32:25 م 2026/01/03,76,علم حاسوب,4,3,3,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:32:54 م 2026/01/03,98.4,تكنولوجيا مالية,4,1,4,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,نعم
10:33:25 م 2026/01/03,98.3,هندسة أمن سيبراني ,2,1,5,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,نعم
10:33:35 م 2026/01/03,70,تمريض ,5,3,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
10:33:40 م 2026/01/03,94,تمريض,3,5,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
10:33:40 م 2026/01/03,76.4,المحافظة على الاثار السياحية,2,1,3,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
10:33:41 م 2026/01/03,80,محاسبة ,4,2,5,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
10:34:21 م 2026/01/03,84,تربية بدنية تطبيقي ,1,5,2,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
10:35:19 م 2026/01/03,٩٤.٠٥,طب بشري,3,5,2,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
